2020-07-03 11:14:56 status half-installed libprocps6:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:14:56 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:14:56 status unpacked libprocps6:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:14:57 install libselinux1:arm64 <none> 2.7-2build2
2020-07-03 11:14:57 status half-installed libselinux1:arm64 2.7-2build2
2020-07-03 11:14:57 status unpacked libselinux1:arm64 2.7-2build2
2020-07-03 11:14:57 status unpacked libselinux1:arm64 2.7-2build2
2020-07-03 11:14:57 install libsemanage-common:all <none> 2.7-2build2
2020-07-03 11:14:57 status half-installed libsemanage-common:all 2.7-2build2
2020-07-03 11:14:57 status unpacked libsemanage-common:all 2.7-2build2
2020-07-03 11:14:57 status unpacked libsemanage-common:all 2.7-2build2
2020-07-03 11:14:57 install libsemanage1:arm64 <none> 2.7-2build2
2020-07-03 11:14:57 status half-installed libsemanage1:arm64 2.7-2build2
2020-07-03 11:14:57 status unpacked libsemanage1:arm64 2.7-2build2
2020-07-03 11:14:57 status unpacked libsemanage1:arm64 2.7-2build2
2020-07-03 11:14:57 install libsepol1:arm64 <none> 2.7-1
2020-07-03 11:14:57 status half-installed libsepol1:arm64 2.7-1
2020-07-03 11:14:58 status unpacked libsepol1:arm64 2.7-1
2020-07-03 11:14:58 status unpacked libsepol1:arm64 2.7-1
2020-07-03 11:14:58 install libsmartcols1:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:14:58 status half-installed libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:58 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:58 status unpacked libsmartcols1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:14:59 install libss2:arm64 <none> 1.44.1-1
2020-07-03 11:14:59 status half-installed libss2:arm64 1.44.1-1
2020-07-03 11:14:59 status unpacked libss2:arm64 1.44.1-1
2020-07-03 11:14:59 status unpacked libss2:arm64 1.44.1-1
2020-07-03 11:14:59 install libsystemd0:arm64 <none> 237-3ubuntu10
2020-07-03 11:14:59 status half-installed libsystemd0:arm64 237-3ubuntu10
2020-07-03 11:14:59 status unpacked libsystemd0:arm64 237-3ubuntu10
2020-07-03 11:14:59 status unpacked libsystemd0:arm64 237-3ubuntu10
2020-07-03 11:14:59 install libtinfo5:arm64 <none> 6.1-1ubuntu1
2020-07-03 11:14:59 status half-installed libtinfo5:arm64 6.1-1ubuntu1
2020-07-03 11:14:59 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2020-07-03 11:14:59 status unpacked libtinfo5:arm64 6.1-1ubuntu1
2020-07-03 11:14:59 install libudev1:arm64 <none> 237-3ubuntu10
2020-07-03 11:14:59 status half-installed libudev1:arm64 237-3ubuntu10
2020-07-03 11:15:00 status unpacked libudev1:arm64 237-3ubuntu10
2020-07-03 11:15:00 status unpacked libudev1:arm64 237-3ubuntu10
2020-07-03 11:15:00 install libuuid1:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:15:00 status half-installed libuuid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:00 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:00 status unpacked libuuid1:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:00 install libzstd1:arm64 <none> 1.3.3+dfsg-2ubuntu1
2020-07-03 11:15:00 status half-installed libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-07-03 11:15:00 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-07-03 11:15:00 status unpacked libzstd1:arm64 1.3.3+dfsg-2ubuntu1
2020-07-03 11:15:01 install login:arm64 <none> 1:4.5-1ubuntu1
2020-07-03 11:15:01 status half-installed login:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:01 status unpacked login:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:01 status unpacked login:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:01 install lsb-base:all <none> 9.20170808ubuntu1
2020-07-03 11:15:01 status half-installed lsb-base:all 9.20170808ubuntu1
2020-07-03 11:15:01 status unpacked lsb-base:all 9.20170808ubuntu1
2020-07-03 11:15:01 status unpacked lsb-base:all 9.20170808ubuntu1
2020-07-03 11:15:02 upgrade mawk:arm64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-07-03 11:15:02 status half-configured mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 status half-installed mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 status half-installed mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 status unpacked mawk:arm64 1.3.3-17ubuntu3
2020-07-03 11:15:02 install mount:arm64 <none> 2.31.1-0.4ubuntu3
2020-07-03 11:15:02 status half-installed mount:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:02 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:02 status unpacked mount:arm64 2.31.1-0.4ubuntu3
2020-07-03 11:15:02 install ncurses-base:all <none> 6.1-1ubuntu1
2020-07-03 11:15:02 status half-installed ncurses-base:all 6.1-1ubuntu1
2020-07-03 11:15:02 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-07-03 11:15:02 status unpacked ncurses-base:all 6.1-1ubuntu1
2020-07-03 11:15:03 install ncurses-bin:arm64 <none> 6.1-1ubuntu1
2020-07-03 11:15:03 status half-installed ncurses-bin:arm64 6.1-1ubuntu1
2020-07-03 11:15:03 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2020-07-03 11:15:03 status unpacked ncurses-bin:arm64 6.1-1ubuntu1
2020-07-03 11:15:03 install passwd:arm64 <none> 1:4.5-1ubuntu1
2020-07-03 11:15:03 status half-installed passwd:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:04 status unpacked passwd:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:04 status unpacked passwd:arm64 1:4.5-1ubuntu1
2020-07-03 11:15:04 upgrade perl-base:arm64 5.26.1-6 5.26.1-6
2020-07-03 11:15:04 status half-configured perl-base:arm64 5.26.1-6
2020-07-03 11:15:04 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:15:04 status half-installed perl-base:arm64 5.26.1-6
2020-07-03 11:15:05 status half-installed perl-base:arm64 5.26.1-6
2020-07-03 11:15:05 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:15:05 status unpacked perl-base:arm64 5.26.1-6
2020-07-03 11:15:05 install procps:arm64 <none> 2:3.3.12-3ubuntu1
2020-07-03 11:15:05 status half-installed procps:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:15:05 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:15:05 status unpacked procps:arm64 2:3.3.12-3ubuntu1
2020-07-03 11:15:05 install sed:arm64 <none> 4.4-2
2020-07-03 11:15:05 status half-installed sed:arm64 4.4-2
